Date,Adj Close,Close,High,Low,Open,Volume,daily_return,lag_return_1,lag_return_2,moving_avg_5,moving_avg_20,volatility_5,target_direction
1994-05-26,25.998125076293945,45.828125,45.9375,45.734375,45.78125,369600,0.0006823609689525778,0.002736914129319201,0.0041222947440742175,45.66875,45.134375,0.003207693950360457,1
1994-05-27,26.02471351623535,45.875,45.875,45.671875,45.75,162000,0.001022843504943749,0.0006823609689525778,0.002736914129319201,45.73125,45.1734375,0.00221089245536387,0
1994-05-31,25.989253997802734,45.8125,45.90625,45.65625,45.734375,160000,-0.0013623978201634523,0.001022843504943749,0.0006823609689525778,45.796875,45.1953125,0.0020903445006527546,1
1994-06-01,26.104490280151367,46.015625,46.015625,45.5625,45.703125,200500,0.004433833560709477,-0.0013623978201634523,0.001022843504943749,45.865625,45.2296875,0.002192420601068066,0
1994-06-02,26.077898025512695,45.96875,46.046875,45.890625,46.046875,55100,-0.0010186757215620013,0.004433833560709477,-0.0013623978201634523,45.9,45.265625,0.0023043477380684722,1
1994-06-03,26.22858238220215,46.234375,46.390625,45.859375,46.0,550400,0.005778382053025055,-0.0010186757215620013,0.004433833560709477,45.98125,45.31796875,0.003213642946762656,0
1994-06-06,26.219728469848633,46.21875,46.46875,46.1875,46.328125,99300,-0.00033795201081443516,0.005778382053025055,-0.0010186757215620013,46.05,45.39140625,0.0033476498974600775,0
1994-06-07,26.18427085876465,46.15625,46.21875,46.03125,46.140625,120600,-0.0013522650439485862,-0.00033795201081443516,0.005778382053025055,46.11875,45.48125,0.003345487296744528,0
1994-06-08,25.971532821655273,45.78125,46.265625,45.78125,46.265625,131900,-0.008124576844956044,-0.0013522650439485862,-0.00033795201081443516,46.071875,45.53515625,0.004931232060351884,1
1994-06-09,26.113359451293945,46.03125,46.03125,45.890625,45.984375,80500,0.005460750853242269,-0.008124576844956044,-0.0013522650439485862,46.084375,45.621875,0.005717414886360089,1
1994-06-10,26.157669067382812,46.109375,46.203125,46.078125,46.078125,83100,0.0016972165648336812,0.005460750853242269,-0.008124576844956044,46.059375,45.7015625,0.004980968273807677,1
1994-06-13,26.193134307861328,46.171875,46.1875,46.03125,46.046875,109700,0.0013554727211115836,0.0016972165648336812,0.005460750853242269,46.05,45.784375,0.005054438428728237,1
1994-06-14,26.397003173828125,46.53125,46.546875,46.3125,46.3125,161000,0.007783417935702142,0.0013554727211115836,0.0016972165648336812,46.125,45.884375,0.006078049806845739,0
1994-06-15,26.290624618530273,46.34375,46.5625,46.3125,46.546875,142800,-0.004029550033579632,0.007783417935702142,0.0013554727211115836,46.2375,45.9421875,0.004507192839386366,1
1994-06-16,26.343809127807617,46.4375,46.46875,46.296875,46.34375,44000,0.0020229265003370855,-0.004029550033579632,0.007783417935702142,46.31875,45.98828125,0.004184405387434376,0
1994-06-17,26.196779251098633,45.875,46.203125,45.8125,46.15625,403800,-0.012113055181695809,0.0020229265003370855,-0.004029550033579632,46.271875,45.9953125,0.007491876635015942,0
1994-06-20,25.973705291748047,45.484375,45.625,45.4375,45.546875,137400,-0.008514986376021771,-0.012113055181695809,0.0020229265003370855,46.134375,45.99140625,0.008000473271407597,0
1994-06-21,25.750640869140625,45.09375,45.453125,44.90625,45.453125,139200,-0.008588114050154583,-0.008514986376021771,-0.012113055181695809,45.846875,45.971875,0.00543929957340622,1
1994-06-22,25.84878921508789,45.265625,45.421875,45.171875,45.21875,279900,0.003811503811503858,-0.008588114050154583,-0.008514986376021771,45.63125,45.9515625,0.007111005187808674,0
1994-06-23,25.697113037109375,45.0,45.40625,44.9375,45.34375,922500,-0.005868139454608179,0.003811503811503858,-0.008588114050154583,45.34375,45.91171875,0.006048800070995767,0
1994-06-24,25.1617488861084,44.0625,44.78125,44.0,44.78125,353800,-0.02083333333333337,-0.005868139454608179,0.003811503811503858,44.98125,45.8234375,0.00879434442717953,1
1994-06-27,25.598962783813477,44.828125,44.828125,44.015625,44.234375,371200,0.017375886524822803,-0.02083333333333337,-0.005868139454608179,44.85,45.77109375,0.014308154545299457,0
1994-06-28,25.474037170410156,44.609375,44.84375,44.25,44.84375,5382300,-0.004879749041477921,0.017375886524822803,-0.02083333333333337,44.753125,45.7109375,0.01402780663852673,1
1994-06-29,25.554353713989258,44.75,45.015625,44.625,44.671875,311800,0.0031523642732049773,-0.004879749041477921,0.017375886524822803,44.65,45.64765625,0.01396155425135982,0
1994-06-30,25.393741607666016,44.46875,44.84375,44.3125,44.828125,271900,-0.006284916201117263,0.0031523642732049773,-0.004879749041477921,44.54375,45.57265625,0.013990065317551379,1
1994-07-01,25.447267532348633,44.5625,44.6875,44.375,44.6875,406900,0.0021082220660575413,-0.006284916201117263,0.0031523642732049773,44.64375,45.4890625,0.009398072696785824,1
1994-07-05,25.58112144470215,44.796875,44.859375,44.515625,44.65625,112000,0.005259467040673149,0.0021082220660575413,-0.006284916201117263,44.6375,45.41796875,0.005130131865139839,0
